physical_metric,compared_metric,metric_group,pearson_corr,abs_pearson_corr,n
openroad_def_routed_net_count,openroad_synth_chip_area,final_qor,0.9978275611219994,0.9978275611219994,18
openroad_route_guide_nonempty_lines,openroad_synth_chip_area,final_qor,0.9974272680855509,0.9974272680855509,18
openroad_route_guide_segment_like_lines,openroad_synth_chip_area,final_qor,0.9967743352058096,0.9967743352058096,18
openroad_def_coordinate_pair_count,openroad_synth_chip_area,final_qor,0.9893554004813506,0.9893554004813506,18
openroad_def_routed_wirelength_microns,openroad_synth_chip_area,final_qor,0.9314733825063584,0.9314733825063584,18
openroad_def_coordinate_pair_count,openroad_critical_path_delay,final_qor,0.7149466980777639,0.7149466980777639,18
openroad_route_guide_segment_like_lines,openroad_critical_path_delay,final_qor,0.7083053273202463,0.7083053273202463,18
openroad_route_guide_nonempty_lines,openroad_critical_path_delay,final_qor,0.7048582858195103,0.7048582858195103,18
openroad_def_routed_net_count,openroad_critical_path_delay,final_qor,0.6933671474501166,0.6933671474501166,18
openroad_def_routed_wirelength_microns,openroad_critical_path_delay,final_qor,0.5540405690713354,0.5540405690713354,18
openroad_route_drc_violation_keyword_count,openroad_critical_path_delay,final_qor,0.4851010727714441,0.4851010727714441,18
openroad_route_drc_violation_keyword_count,openroad_synth_chip_area,final_qor,0.4230252664354017,0.4230252664354017,18
openroad_def_routed_wirelength_microns,openroad_worst_slack,final_qor,-0.3859261422246344,0.3859261422246344,18
openroad_def_routed_net_count,openroad_worst_slack,final_qor,-0.37723927867591384,0.37723927867591384,18
openroad_route_guide_nonempty_lines,openroad_worst_slack,final_qor,-0.37237927358653233,0.37237927358653233,18
openroad_route_guide_segment_like_lines,openroad_worst_slack,final_qor,-0.36959872660859633,0.36959872660859633,18
openroad_def_coordinate_pair_count,openroad_worst_slack,final_qor,-0.3575943799701416,0.3575943799701416,18
openroad_route_drc_violation_keyword_count,openroad_total_power,final_qor,-0.21531427965228653,0.21531427965228653,18
openroad_route_drc_violation_keyword_count,openroad_worst_slack,final_qor,-0.21037393045670164,0.21037393045670164,18
openroad_def_routed_net_count,openroad_max_cap_violation_count,final_qor,-0.2070714925479681,0.2070714925479681,18
openroad_route_guide_nonempty_lines,openroad_max_cap_violation_count,final_qor,-0.18364294349951032,0.18364294349951032,18
openroad_route_guide_segment_like_lines,openroad_max_cap_violation_count,final_qor,-0.17339523858154063,0.17339523858154063,18
openroad_def_coordinate_pair_count,openroad_max_cap_violation_count,final_qor,-0.14991822772231245,0.14991822772231245,18
openroad_def_coordinate_pair_count,openroad_total_power,final_qor,-0.14006178344543385,0.14006178344543385,18
openroad_def_routed_wirelength_microns,openroad_max_cap_violation_count,final_qor,-0.12760215342963102,0.12760215342963102,18
openroad_route_guide_segment_like_lines,openroad_total_power,final_qor,-0.11302705140620242,0.11302705140620242,18
openroad_route_guide_nonempty_lines,openroad_total_power,final_qor,-0.10526047492000633,0.10526047492000633,18
openroad_def_routed_net_count,openroad_total_power,final_qor,-0.08502495644646109,0.08502495644646109,18
openroad_def_routed_wirelength_microns,openroad_total_power,final_qor,0.06558496109771228,0.06558496109771228,18
openroad_route_drc_violation_keyword_count,openroad_max_cap_violation_count,final_qor,-0.03135736227945322,0.03135736227945322,18
openroad_def_routed_wirelength_microns,openroad_wns,final_qor,,,18
openroad_def_routed_wirelength_microns,openroad_tns,final_qor,,,18
openroad_def_routed_wirelength_microns,openroad_setup_violation_count,final_qor,,,18
openroad_def_routed_wirelength_microns,openroad_hold_violation_count,final_qor,,,18
openroad_def_routed_wirelength_microns,openroad_max_slew_violation_count,final_qor,,,18
openroad_def_coordinate_pair_count,openroad_wns,final_qor,,,18
openroad_def_coordinate_pair_count,openroad_tns,final_qor,,,18
openroad_def_coordinate_pair_count,openroad_setup_violation_count,final_qor,,,18
openroad_def_coordinate_pair_count,openroad_hold_violation_count,final_qor,,,18
openroad_def_coordinate_pair_count,openroad_max_slew_violation_count,final_qor,,,18
openroad_def_routed_net_count,openroad_wns,final_qor,,,18
openroad_def_routed_net_count,openroad_tns,final_qor,,,18
openroad_def_routed_net_count,openroad_setup_violation_count,final_qor,,,18
openroad_def_routed_net_count,openroad_hold_violation_count,final_qor,,,18
openroad_def_routed_net_count,openroad_max_slew_violation_count,final_qor,,,18
openroad_route_guide_nonempty_lines,openroad_wns,final_qor,,,18
openroad_route_guide_nonempty_lines,openroad_tns,final_qor,,,18
openroad_route_guide_nonempty_lines,openroad_setup_violation_count,final_qor,,,18
openroad_route_guide_nonempty_lines,openroad_hold_violation_count,final_qor,,,18
openroad_route_guide_nonempty_lines,openroad_max_slew_violation_count,final_qor,,,18
openroad_route_guide_segment_like_lines,openroad_wns,final_qor,,,18
openroad_route_guide_segment_like_lines,openroad_tns,final_qor,,,18
openroad_route_guide_segment_like_lines,openroad_setup_violation_count,final_qor,,,18
openroad_route_guide_segment_like_lines,openroad_hold_violation_count,final_qor,,,18
openroad_route_guide_segment_like_lines,openroad_max_slew_violation_count,final_qor,,,18
openroad_route_drc_violation_keyword_count,openroad_wns,final_qor,,,18
openroad_route_drc_violation_keyword_count,openroad_tns,final_qor,,,18
openroad_route_drc_violation_keyword_count,openroad_setup_violation_count,final_qor,,,18
openroad_route_drc_violation_keyword_count,openroad_hold_violation_count,final_qor,,,18
openroad_route_drc_violation_keyword_count,openroad_max_slew_violation_count,final_qor,,,18
